+1,291.0,185.0,38.0,194.0,15:45:14 822
+1,269.0,146.0,41.0,185.0,15:45:15 769
任务1, 开始
-1,110.0,181.0,303.0,182.0,15:45:29 658
-1,167.0,188.0,273.0,183.0,15:45:30 804
0,129.0,109.0,129.0,109.0,15:45:31 961
健康运动,0,0,0,0,15:45:32 000
-2,234.0,205.0,235.24205,53.757942,15:45:36 355
任务1, 结束
+1,280.0,175.0,141.0,179.0,15:45:40 689
任务2, 开始
+2,177.0,30.0,172.96048,281.19757,15:45:49 846
＊主菜单＊,0,0,0,0,15:45:49 891
+1,235.0,172.0,33.0,192.0,15:45:52 126
+1,258.0,150.0,46.0,168.0,15:45:53 429
+1,282.0,170.0,142.0,156.0,15:45:54 315
0,125.0,226.0,125.0,226.0,15:45:55 780
视频,0,0,0,0,15:45:55 842
+1,240.0,181.0,29.0,190.0,15:45:58 360
+1,254.0,178.0,102.0,152.0,15:46:00 829
0,217.0,96.0,217.0,96.0,15:46:01 550
+2,198.0,44.0,210.0,281.0,15:46:03 262
＊主菜单＊,0,0,0,0,15:46:03 400
任务2, 结束
任务3, 开始
+1,265.0,170.0,26.0,215.0,15:46:18 720
+1,293.0,174.0,34.383762,181.30812,15:46:19 662
+1,271.0,171.0,68.745514,185.29341,15:46:20 690
+1,290.0,164.0,42.0,184.5,15:46:22 985
-1,136.0,166.0,316.44867,191.96555,15:46:24 406
-1,137.0,167.0,296.75055,177.0,15:46:25 426
-1,80.0,183.0,301.0,181.0,15:46:26 182
-1,108.0,182.0,302.0,182.0,15:46:26 857
-1,100.0,167.0,318.5,179.5,15:46:27 907
-1,82.0,178.0,309.0,173.0,15:46:28 734
-1,103.0,172.0,301.0,172.0,15:46:29 605
-1,208.0,180.0,284.43906,184.69594,15:46:31 421
+1,279.0,177.0,63.0,192.0,15:46:32 222
+1,248.0,183.0,71.0,182.0,15:46:32 942
+1,245.0,181.0,60.276375,183.30855,15:46:33 856
+1,247.0,187.0,133.0,193.0,15:46:34 944
+1,236.0,183.0,145.0,187.0,15:46:36 046
+1,251.0,167.0,68.0,181.0,15:46:37 721
0,100.0,112.0,100.0,112.0,15:46:38 417
系统设置,0,0,0,0,15:46:38 456
-1,84.0,198.0,128.0,64.0,15:46:41 863
-2,86.0,224.0,103.44831,58.758434,15:46:45 216
-2,108.0,243.0,115.0,83.0,15:46:46 811
+2,151.0,52.0,160.0,271.0,15:46:47 491
＊主菜单＊,0,0,0,0,15:46:47 557
+2,174.0,27.0,178.0,275.0,15:46:48 320
0,227.0,107.0,227.0,107.0,15:46:51 319
自带导航,0,0,0,0,15:46:51 358
任务3, 结束
+2,172.0,61.0,172.0,267.0,15:47:08 866
＊主菜单＊,0,0,0,0,15:47:08 907
任务4, 开始
+1,235.0,149.0,33.0,192.0,15:47:20 486
0,113.0,115.0,113.0,115.0,15:47:20 621
系统设置,0,0,0,0,15:47:20 680
任务4, 结束
任务5, 开始
+2,139.0,44.0,136.0,260.0,15:47:33 416
＊主菜单＊,0,0,0,0,15:47:33 483
-1,110.0,187.0,293.0,190.0,15:47:39 961
-1,77.0,170.0,304.0,176.0,15:47:40 630
-1,80.0,188.0,303.0,172.0,15:47:41 479
-1,104.0,181.0,301.0,182.0,15:47:42 313
-1,106.0,179.0,297.0,181.0,15:47:43 384
0,212.0,107.0,212.0,107.0,15:47:44 215
微信,0,0,0,0,15:47:44 255
+1,268.0,182.0,94.96844,187.70978,15:47:48 547
+1,251.0,158.0,31.0,208.0,15:47:51 365
+1,228.0,178.0,64.0,228.0,15:47:52 542
+1,271.0,184.0,103.839096,185.95978,15:47:53 868
+1,252.0,180.0,8.683983,222.481,15:47:54 624
+1,273.0,184.0,49.0,219.0,15:47:55 978
-1,82.0,191.0,304.8453,189.6022,15:47:57 425
-1,91.0,206.0,297.0,197.0,15:47:59 926
-1,95.0,207.0,276.292,195.324,15:48:01 020
-1,74.0,187.0,310.37775,178.28297,15:48:02 770
0,223.0,134.0,223.0,134.0,15:48:04 533
0,140.0,105.0,140.0,105.0,15:48:05 655
+1,255.0,191.0,49.22694,230.0,15:48:07 564
+1,246.0,195.0,63.692562,224.10895,15:48:08 713
+1,240.0,196.0,53.0,215.0,15:48:10 212
任务5, 结束
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
-1,70.0,190.0,280.86337,183.48367,15:48:19 265
-1,93.0,181.0,301.0,176.0,15:48:20 531
+1,224.0,138.0,30.489723,195.38573,15:48:23 364
+1,258.0,177.0,42.0,208.0,15:48:23 404
-1,105.0,189.0,308.4269,160.13483,15:48:25 125
-1,109.0,188.0,303.0,181.0,15:48:25 989
+2,146.0,35.0,129.0,273.0,15:48:44 963
＊主菜单＊,0,0,0,0,15:48:45 030
-1,86.0,165.0,249.0,179.0,15:48:48 497
-1,121.0,166.0,288.0,174.0,15:48:50 565
