0,210.0,212.0,210.0,212.0,09:53:24 627
0,158.0,34.0,158.0,34.0,09:53:24 670
+1,204.0,45.0,31.0,113.0,09:53:25 193
0,245.0,271.0,245.0,271.0,09:53:25 451
0,278.0,72.0,278.0,72.0,09:53:46 415
+2,182.0,25.0,220.0,295.0,09:53:48 099
＊主菜单＊,0,0,0,0,09:53:48 147
任务1, 开始
0,211.0,110.0,211.0,110.0,09:53:56 480
睡眠,0,0,0,0,09:53:56 543
+1,258.0,140.0,141.65077,134.02805,09:54:00 455
任务1, 结束
任务2, 开始
+2,176.0,90.0,182.0739,284.48004,09:54:09 137
＊主菜单＊,0,0,0,0,09:54:09 175
+1,268.0,158.0,135.0,144.0,09:54:10 925
+1,245.0,155.0,129.0,144.0,09:54:12 345
+1,247.0,160.0,101.0,137.0,09:54:13 368
+1,269.0,150.0,93.0,135.0,09:54:14 073
0,211.0,226.0,211.0,226.0,09:54:15 300
笔记,0,0,0,0,09:54:15 338
+1,272.0,149.0,120.910576,142.12016,09:54:18 997
+1,262.0,154.0,127.0,139.0,09:54:21 583
+1,272.0,172.0,120.73441,134.3672,09:54:24 083
任务2, 结束
任务3, 开始
+2,203.0,42.0,229.53152,268.1457,09:54:30 991
＊主菜单＊,0,0,0,0,09:54:31 062
-1,86.0,177.0,210.0,176.0,09:54:33 665
-1,151.0,174.0,263.0,198.0,09:54:33 883
-1,109.0,154.0,291.0,187.0,09:54:34 740
0,101.0,224.0,101.0,224.0,09:54:35 487
短信息,0,0,0,0,09:54:35 527
+1,289.0,139.0,123.0,118.0,09:54:41 441
+2,186.0,100.0,244.76743,264.59302,09:54:45 607
＊主菜单＊,0,0,0,0,09:54:45 738
+1,270.0,175.0,144.0,118.0,09:54:48 199
0,103.0,113.0,103.0,113.0,09:54:48 732
电话,0,0,0,0,09:54:48 786
+2,199.0,75.0,255.73964,298.0694,09:54:51 584
＊主菜单＊,0,0,0,0,09:54:51 623
0,214.0,106.0,214.0,106.0,09:54:53 412
联系人,0,0,0,0,09:54:53 454
+1,267.0,152.0,166.14818,143.45927,09:54:55 328
-1,142.0,141.0,280.0744,167.42361,09:54:56 333
+1,261.0,150.0,134.0,138.0,09:54:57 180
+1,257.0,134.0,165.31627,142.18878,09:54:57 695
+1,267.0,139.0,143.0,113.0,09:54:58 371
+1,280.0,131.0,155.0,137.0,09:55:01 081
任务3, 结束
任务4, 开始
+2,204.0,92.0,242.16821,283.12616,09:55:06 097
＊主菜单＊,0,0,0,0,09:55:06 136
+1,260.0,153.0,63.0,143.0,09:55:08 041
+1,253.0,140.0,106.0,138.0,09:55:09 010
+1,275.0,154.0,133.0,142.0,09:55:09 793
+1,264.0,140.0,141.0,145.0,09:55:10 602
0,212.0,233.0,212.0,233.0,09:55:11 474
下载,0,0,0,0,09:55:11 511
任务4, 结束
任务5, 开始
+2,217.0,131.0,231.34987,291.0223,09:55:18 538
＊主菜单＊,0,0,0,0,09:55:18 623
+1,277.0,149.0,169.0,136.0,09:55:21 643
-1,159.0,162.0,261.0,172.0,09:55:21 746
-1,141.0,167.0,270.08557,159.91838,09:55:22 787
-1,158.0,145.0,262.0,178.0,09:55:23 891
0,215.0,125.0,215.0,125.0,09:55:24 681
音乐,0,0,0,0,09:55:24 716
+1,288.0,154.0,131.30861,144.33888,09:55:27 131
+1,277.0,146.0,113.8932,140.08737,09:55:28 564
任务5, 结束
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
