+2,110.0,60.0,123.89382,293.53436,031186.847	+2,110.0,60.0,123.89382,293.53436,031186.847
7000,0,0,0,0,031186.938	7000,0,0,0,0,031186.938
8001,998,0,0,0,0	8001,998,0,0,0,0
-1,135.0,191.0,294.0,190.0,031225.811	-1,135.0,191.0,294.0,190.0,031225.811
-1,111.0,186.0,308.0,187.0,031227.017	-1,111.0,186.0,308.0,187.0,031227.017
-1,136.0,183.0,295.0,177.0,031228.899	-1,136.0,183.0,295.0,177.0,031228.899
-1,141.0,184.0,293.0,176.0,031230.045	-1,141.0,184.0,293.0,176.0,031230.045
-1,125.0,166.0,322.09695,187.55943,031231.121	-1,125.0,166.0,322.09695,187.55943,031231.121
-1,149.0,173.0,296.0,179.0,031232.454	-1,149.0,173.0,296.0,179.0,031232.454
-1,131.0,144.0,302.0,158.0,031235.197	-1,131.0,144.0,302.0,158.0,031235.197
+1,260.0,177.0,76.0,179.0,031235.6	+1,260.0,177.0,76.0,179.0,031235.6
+1,286.0,177.0,50.0,166.0,031238.26	+1,286.0,177.0,50.0,166.0,031238.26
+1,256.0,169.0,49.0,182.0,031239.408	+1,256.0,169.0,49.0,182.0,031239.408
+1,255.0,153.0,41.0,172.0,031240.833	+1,255.0,153.0,41.0,172.0,031240.833
+1,258.0,183.0,42.0,164.0,031243.753	+1,258.0,183.0,42.0,164.0,031243.753
+1,257.0,172.0,43.0,181.0,031245.798	+1,257.0,172.0,43.0,181.0,031245.798
0,185.0,227.0,185.0,227.0,031248.447	0,185.0,227.0,185.0,227.0,031248.447
7028,0,0,0,0,031248.524	7028,0,0,0,0,031248.524
8001,999,0,0,0,0	8001,999,0,0,0,0
8002,998,0,0,0,0	8002,998,0,0,0,0
+2,191.0,124.0,188.0,325.0,031266.762	+2,191.0,124.0,188.0,325.0,031266.762
7000,0,0,0,0,031266.852	7000,0,0,0,0,031266.852
-1,145.0,170.0,327.5277,171.37924,031271.216	-1,145.0,170.0,327.5277,171.37924,031271.216
-1,138.0,175.0,267.5407,183.35587,031272.032	-1,138.0,175.0,267.5407,183.35587,031272.032
-1,137.0,191.0,260.0,204.0,031274.701	-1,137.0,191.0,260.0,204.0,031274.701
+1,238.0,160.0,28.0,179.0,031277.73	+1,238.0,160.0,28.0,179.0,031277.73
0,122.0,142.0,122.0,142.0,031278.208	0,122.0,142.0,122.0,142.0,031278.208
0,114.0,124.0,114.0,124.0,031279.733	0,114.0,124.0,114.0,124.0,031279.733
7017,0,0,0,0,031279.815	7017,0,0,0,0,031279.815
8002,999,0,0,0,0	8002,999,0,0,0,0
+2,213.0,72.0,194.0,282.13235,031286.997	+2,213.0,72.0,194.0,282.13235,031286.997
7000,0,0,0,0,031287.123	7000,0,0,0,0,031287.123
8003,998,0,0,0,0	8003,998,0,0,0,0
+1,266.0,178.0,147.4944,179.80482,031299.701	+1,266.0,178.0,147.4944,179.80482,031299.701
-1,102.0,155.0,302.0,173.0,031301.419	-1,102.0,155.0,302.0,173.0,031301.419
-1,143.0,181.0,307.0,174.0,031301.577	-1,143.0,181.0,307.0,174.0,031301.577
-1,137.0,181.0,302.0,183.0,031301.873	-1,137.0,181.0,302.0,183.0,031301.873
-1,151.0,171.0,307.0,167.0,031302.32	-1,151.0,171.0,307.0,167.0,031302.32
-1,126.0,156.0,314.0,169.0,031302.653	-1,126.0,156.0,314.0,169.0,031302.653
-1,113.0,183.0,307.0,186.0,031303.208	-1,113.0,183.0,307.0,186.0,031303.208
-1,76.0,181.0,298.0,187.0,031303.576	-1,76.0,181.0,298.0,187.0,031303.576
+1,257.0,163.0,72.0,171.0,031306.165	+1,257.0,163.0,72.0,171.0,031306.165
0,231.0,219.0,231.0,219.0,031307.586	0,231.0,219.0,231.0,219.0,031307.586
7008,0,0,0,0,031307.623	7008,0,0,0,0,031307.623
+1,213.0,148.0,19.0,177.0,031321.13	+1,213.0,148.0,19.0,177.0,031321.13
+1,255.0,170.0,31.60274,179.49315,031321.465	+1,255.0,170.0,31.60274,179.49315,031321.465
-1,67.0,225.0,229.72388,221.42036,031323.384	-1,67.0,225.0,229.72388,221.42036,031323.384
+1,248.0,136.0,21.154451,182.45366,031331.114	+1,248.0,136.0,21.154451,182.45366,031331.114
+1,257.0,172.0,26.0,193.0,031331.677	+1,257.0,172.0,26.0,193.0,031331.677
+1,254.0,146.0,36.83695,204.6739,031332.417	+1,254.0,146.0,36.83695,204.6739,031332.417
+1,271.0,153.0,60.0,192.0,031333.936	+1,271.0,153.0,60.0,192.0,031333.936
+1,260.0,162.0,31.0,219.0,031335.435	+1,260.0,162.0,31.0,219.0,031335.435
+1,273.0,158.0,69.0,180.0,031337.198	+1,273.0,158.0,69.0,180.0,031337.198
-1,110.0,154.0,310.0,176.0,031340.951	-1,110.0,154.0,310.0,176.0,031340.951
-1,122.0,142.0,208.66023,167.67711,031341.581	-1,122.0,142.0,208.66023,167.67711,031341.581
-1,184.0,175.0,305.0,180.0,031342.801	-1,184.0,175.0,305.0,180.0,031342.801
-1,141.0,164.0,300.0,154.0,031346.739	-1,141.0,164.0,300.0,154.0,031346.739
-1,97.0,156.0,304.0,160.0,031347.772	-1,97.0,156.0,304.0,160.0,031347.772
-1,130.0,157.0,321.0468,179.53186,031348.528	-1,130.0,157.0,321.0468,179.53186,031348.528
+1,270.0,149.0,34.758434,174.51723,031353.924	+1,270.0,149.0,34.758434,174.51723,031353.924
+1,200.0,190.0,61.0,203.0,031354.404	+1,200.0,190.0,61.0,203.0,031354.404
+1,188.0,172.0,22.0,192.0,031354.894	+1,188.0,172.0,22.0,192.0,031354.894
8003,999,0,0,0,0	8003,999,0,0,0,0
